STUDY_ID,MIN_SAMPLE,REALM,CLIMATE,HABITAT,PROTECTED_AREA,AREA,BIOME_MAP,TAXA,ORGANISMS,TITLE,AB_BIO,DATA_POINTS,START_YEAR,END_YEAR,CENT_LAT,CENT_LONG,NUMBER_OF_SPECIES,NUMBER_OF_SAMPLES,NUMBER_LAT_LONG,TOTAL,GRAIN_SQ_KM,AREA_SQ_KM,DATE_STUDY_ADDED,ABUNDANCE_TYPE,BIOMASS_TYPE,SAMPLE_DESC_NAME
51,1,Terrestrial,Temperate,Woodland,FALSE,8.50E-06,Boreal forests/Taiga,Birds,tetraonid birds,Fluctuations and long-term in the relative densities of tetraonid populations in Finland. 1964-77,A,14,1964,1977,61.9241,25.7482,4,1,1,56,0,8.50E-06,Oct-12,MeanCount,NA,lat_long_general_date
52,4,Terrestrial,Polar,Polar,FALSE,1.06E-05,Boreal forests/Taiga,Mammals,small land carnivores,A transect survey of small land carnivore and red fox populations on a subarctic fell in Finnish forest Lapland over 13 winters,A,13,1968,1980,67.75,29.5,3,5,1,144,0.001,1.06E-05,Oct-12,MeanCount,NA,lat_long_general_forestType_date
53,1,Terrestrial,Temperate,Savanna/ Tallgrass prairie,FALSE,5.71E-06,Temperate broadleaf and mixed forests,Mammals,small mammals,An 11-year study of small mammal populations at Mont St. Hilaire. Quebec,A,10,1966,1976,45.564,-73.179,5,1,1,44,10,10,Oct-12,MeanCount,NA,lat_long_general_size_date
54,109,Terrestrial,Tropical,Tropical forest,FALSE,4.21E-06,Tropical and subtropical dry broadleaf forests,Terrestrial invertebrates,land snails,El Verde Grid invertebrate data (Big Grid Snail Captures 1991-2007),A,24,1991,2014,18.1667,-65.5,19,798,1,21702,2.83E-05,0.16,Oct-12,Count,NA,lat_long_season_run_point_date
56,283,Terrestrial,Temperate,Savanna/ Tallgrass prairie,FALSE,4.84E-06,Deserts and xeric shrublands,Mammals,small mammals,Small Mammal Mark-Recapture Population Dynamics at Core Research Sites,AB,20,1989,2008,34.2,-106.43,28,8026,1,16657,0.0314,4.84E-06,Oct-12,Count,Weight,lat_long_location_season_night_web_trap_date
57,52,Freshwater,Temperate,Lakes,FALSE,5.56E-06,Small lake ecosystems,Fish,fish,North Temperate Lakes LTER Fish Abundance,A,32,1981,2012,43.9928,-89.4946,76,258,1,10892,40,5.56E-06,Oct-12,Count,NA,lat_long_area_lake_gear_effort_date
58,2,Terrestrial,Tropical,Long term monitoring site,FALSE,4.21E-06,Tropical and subtropical dry broadleaf forests,Birds,birds,Avian populations long-term monitoring dataset. San Juan. Puerto Rico Luquillo Long Term Ecological Research Site Database Grid points bird counts DBAS 23,A,18,1991,2008,18.19,-65.43,31,6,1,1171,0.0019625,0.16,Oct-12,Count,NA,lat_long_general_plot_date
59,2,Terrestrial,Temperate,Urban / Desert,FALSE,4.63E-06,Deserts and xeric shrublands,Mammals,rodents,Long-term monitoring and experimental manipulation of a Chihuahuan Desert ecosystem near Portal. Arizona. USA,A,26,1977,2002,30.3226,-103.501,29,2,1,427,0.0025,0.0025,Oct-12,Count,NA,lat_long_general_location_date
60,1,Terrestrial,Tropical,Tropical forest,FALSE,4.05E-06,Tropical and subtropical moist broadleaf forests,Terrestrial plants,tropical woody plants,Forest Census Plot on Barro Colorado Island,A,8,1982,2015,9.1521,-79.8465,325,8,1,2429,0.5,0.5,Oct-12,Count,NA,lat_long_country_lake_island_date
63,1,Terrestrial,Temperate,Ponds,FALSE,6.56E-06,Small lake ecosystems,Terrestrial invertebrates,dragonflies,The development of dragonfly communities and the consequences of territorial behaviour A 27-year study on small ponds at Woodwalton Fen. Cambridgeshire. United Kingdom,A,29,1959,1988,52.4221,-0.180928,5,1,1,132,0,2.08,Oct-12,Count,NA,lat_long_general_method_date
67,1,Terrestrial,Temperate,Ponds,FALSE,1795780,Deserts and xeric shrublands,Birds,waterbirds,Animal Demography Unit - Coordinated Waterbird Counts (CWAC) (AfrOBIS),A,24,1983,2006,-28.954467,24.950961,68,417,417,15448,0,1586205,Oct-12,Count,NA,lat_long_general_date
68,100,Marine,Temperate,Tidal flats,FALSE,824416,Temperate shelf and seas ecoregions,Marine invertebrates,copepods,Marine and Coastal Management - Copepod Surveys (AfrOBIS),A,13,1988,2000,-32.482669,20.02901,15,2569,2569,38535,0,429677,Oct-12,Presence/Absence,NA,lat_long_ocean_country_depth_date
69,1,Marine,Temperate,Coastal habitats,FALSE,2133590,Temperate shelf and seas ecoregions,Birds,seabirds,Seabird 2000 (EurOBIS),A,10,1994,2003,54.783267,-4.26303,27,9864,1476,22694,1.00E-05,315159,Oct-12,Presence/Absence,NA,lat_long_ocean_country_locality_bottomDepth_date
71,79,Marine,Polar/Temperate,Pelagic waters,FALSE,12996100,Polar ecoregions,Marine plants,Phytoplankton,Phytoplankton from the White Sea. Barents Sea. Norwegian Sea and Arctic Basin 1993-2003,A,10,1993,2003,73.555523,27.288975,412,3250,133,35323,6.00E-04,4092385,Oct-12,Count,NA,lat_long_country_water_station_maxDep_method_notes_date
72,830,Marine,Polar/Temperate,Pelagic waters,FALSE,459554,Polar ecoregions,Marine invertebrates,Zooplankton,White Sea Plankton,A,5,1998,2003,65.890093,36.80637,107,7569,127,12471,0,260,Oct-12,Count,NA,lat_long_cruise_lifestage_ID_station_bottomDepth_minDepth_maxDepth_date
73,781,Marine,Polar,Pelagic waters,FALSE,30897600,Polar ecoregions,Marine invertebrates,Copepods,Copepoda collected from Fletcher's Ice Island (T-3) in the Canadian Basin of the Arctic Ocean,A,4,1966,1969,80.624583,-145.202313,43,6722,132,16063,0,10682491,Oct-12,Count,NA,lat_long_ocean_water_cruise_method_lifestage_size_minDepth_maxDepth_date
74,190,Marine,Polar,Pelagic waters,FALSE,23414000,Polar ecoregions,Marine invertebrates,copepods,Copepoda collected from the Canada Basin Arctic Ocean Fletcher's Ice Island (T-3) 1970-1972 and AIDJEX. 1975. Phytoplankton Primary Production Below Arctic Ocean Pack Ice An Ecosystems Analysis,A,4,1970,1975,80.393869,-116.643525,37,3141,77,6672,0,7111875,Oct-12,Count,NA,lat_long_ocean_water_cruise_method_lifestage_size_minDepth_maxDepth_date
75,19,Marine,Polar,Pelagic waters,FALSE,694770,Polar ecoregions,Marine invertebrates,Zooplankton,Zooplankton Data from the Canadian Beaufort Sea Shelf. 1984 and 1985 NOGAP B2. Zooplankton Data from the Canadian Beaufort Sea Shelf. 1986. Central and Arctic Region,AB,3,1985,1987,70.076056,-132.943077,304,321,112,12643,1.00E-07,180454,Oct-12,Density,Weight,lat_long_locality_depth_date
76,4,Marine,Temperate,Estuarine and coastal waters,FALSE,1557940,Temperate shelf and seas ecoregions,Benthos,benthic animals,A comparison of benthic biodiversity in the North Sea. English Channel and Celtic Seas,A,5,1992,1996,53.928422,-0.500147,212,59,58,1347,1.00E-07,832035,Oct-12,Count,NA,lat_long_general_minDepth_maxDepth_date
77,210,Marine,Temperate,Coastal habitats,FALSE,238260,Temperate shelf and seas ecoregions,Birds,seabirds,MEDITS Seabird surveys 1999 - 2000 - 2002,A,3,1999,2002,38.696508,-0.675526,16,703,703,1072,0,197847,Oct-12,Count,NA,lat_long_general_date
78,2,Marine,Temperate,Estuarine and coastal waters,FALSE,407152,Temperate shelf and seas ecoregions,Benthos,macrozoobenthos,IOW Macrozoobenthos monitoring Baltic Sea (1980-2005) (EurOBIS),A,25,1980,2005,56.729642,18.236359,212,19,19,3587,1.00E-07,148740,Oct-12,Count,NA,lat_long_ocean_locality_minDepth_maxDepth_date
81,4,Marine,Temperate,Coastal habitats,FALSE,5802.09,Temperate shelf and seas ecoregions,Mammals,cetaceans,CRRU Cetacean sighting in Scotland waters 1997-2010,A,14,1997,2010,57.767014,-2.642995,9,1600,1600,1613,0,4258,Oct-12,Count,NA,lat_long_general_date
84,3,Marine,Temperate,Seaweed beds,FALSE,26144.8,Temperate shelf and seas ecoregions,Marine plants,Macroalgae,Macroalgae of the Crimean coastal zone (Black Sea. 1967-2007),A,11,1967,2007,44.948645,33.752702,104,117,112,5070,1.00E-06,1366,Oct-12,Presence/Absence,NA,lat_long_waterbody_locality_date
85,35,Marine,Temperate,Tidal flats,FALSE,193273,Temperate shelf and seas ecoregions,Marine invertebrates,Marine invertebrates,North Sea observations of Crustacea. Polychaeta. Echinodermata. Mollusca and some other groups between 1986 and 2003,A,12,1992,2003,53.604782,4.248107,354,791,297,9984,0,171011,Oct-12,Density,NA,lat_long_country_minDepth_maxDepth_date
86,13,Marine,Temperate,Seaweed beds,FALSE,646814,Temperate shelf and seas ecoregions,Marine plants,Phytoplankton,Phytoplankton of the Ukrainian Black Sea shelf (1985-2005),AB,9,1985,1998,44.682583,35.439567,368,1432,299,9998,0,446518,Oct-12,Count,Weight,lat_long_continent_locality_minDepth_date
87,1,Marine,Temperate,Seaweed beds,FALSE,0.159518,Temperate shelf and seas ecoregions,Marine plants,Phytoplankton,Phytoplankton in the Oosterschelde before. during and after the storm-surge barrier (1982-1990),A,9,1982,1990,51.54925,3.912051,109,2,2,6155,0,0.159520047,Oct-12,Count,NA,lat_long_general_date
90,29,Marine,Temperate,Tidal flats,FALSE,138116,Temperate shelf and seas ecoregions,Marine invertebrates,zooplankton,Zooplankton in the Bay of Biscay (1995-2004. yearly DEPM surveys),A,6,1995,2004,44.775118,-2.829299,66,512,499,9059,0,116189,Oct-12,Presence/Absence,NA,lat_long_ocean_location_maxDepth_date
91,111,Marine,Temperate,Coastal habitats,FALSE,391288,Temperate shelf and seas ecoregions,Birds,birds,Baltic seabirds transect surveys,A,8,1992,1999,57.038966,20.555517,68,2329,2329,6318,0.3,153286,Oct-12,Count,NA,lat_long_waterbody_locality_date
92,2,Marine,Polar/Temperate,Pelagic waters,FALSE,756094,Polar ecoregions,Benthos,Macrobenthos,Benthos of the White Sea - A database,A,23,1981,2010,65.968523,38.131417,526,365,290,7452,2.50E-07,387745,Oct-12,Presence/Absence,NA,lat_long_country_ocean_minDepth_date
96,19,Marine,Polar,Pelagic waters,FALSE,27113900,Polar ecoregions,Marine invertebrates,zooplankton,Structure and function of contemporary food webs on Arctic shelves A panarctic comparison. The pelagic system of the Kara Sea- communities and components of carbon flow (ArcOD/AOOS),A,4,1997,2001,78.976041,83.86024,100,104,100,2633,0,4206159,Oct-12,Count,NA,lat_long_ocean_waterbody_collMethod_depth_date
97,1,Marine,Polar/Temperate,Pelagic waters,FALSE,881916000,Multiple ecoregions,Marine invertebrates,zooplankton,Archives of the Arctic Seas Zooplankton (ARC),A,22,1921,1973,72.739441,10.694448,402,835,802,15016,0,25486615,Oct-12,Count,NA,lat_long_waterbody_platform_collMethod_depth_date
98,6,Marine,Polar,Pelagic waters,FALSE,568788,Polar ecoregions,Benthos,zoobenthos,Zoobenthos data from the Southern Beaufort Sea. 1971-1975 (ArcOD/AOOS),A,4,1971,1975,70.143381,-134.563274,336,97,93,2133,3.10E-07,246090,Oct-12,Count,NA,lat_long_waterbody_collMethod_maxDepth_date
99,35,Marine,Temperate/Tropical,Multiple marine habitats - coastal Australia,FALSE,11277100,Multiple ecoregions,Fish,fish,CSIRO Marine Data Warehouse (OBIS Australia),B,15,1978,1997,-25.597857,134.025057,761,2566,2443,40884,0,4301846,Oct-12,NA,Weight,lat_long_survey_depth_bottomDepth_minDepth_maxDepth_date
100,1,Marine,Temperate,Pelagic / Bottom waters,FALSE,6.37E-06,Temperate shelf and seas ecoregions,Fish,Fish,Community level response to climate change The long-term study of the fish andcrustacean community of the Bristol Channel,A,31,1981,2011,51.14,-3.08,83,1,1,5199,0,6.38E-06,Oct-12,Count,NA,lat_long_general_date
101,1,Marine,Temperate,Tidal flats,FALSE,6.37E-06,Temperate shelf and seas ecoregions,Marine invertebrates,Marine invertebrates,Community level response to climate change The long-term study of the fish andcrustacean community of the Bristol Channel,A,31,1981,2011,51.14,-3.08,15,1,1,2210,0,6.38E-06,Oct-12,Count,NA,lat_long_general_date
108,9,Marine,Global,Oceanic waters,FALSE,348081000,Multiple ecoregions,Birds,birds,Seabirds of the Southern and South Indian Ocean (Australian Antarctic Data Centre),A,29,1977,2006,-27.17355,3.945813,123,59928,57723,116226,0,162783730,Oct-12,Count,NA,lat_long_country_ocean_date
110,2,Marine,Temperate,Estuarine and coastal waters,FALSE,3275690,Temperate shelf and seas ecoregions,Benthos,Benthos,Marine Nature Conservation Review (MNCR) and associated benthic marine data held and managed by JNCC (EurOBIS),A,38,1954,2000,55.523995,-3.240631,4120,9922,987,398501,0,1335133,Oct-12,Presence/Absence,NA,lat_long_ocean_country_locality_bottomDepth_date
112,61,Marine,Temperate/Tropical,Pelagic / Bottom waters,FALSE,40853900,Multiple ecoregions,Fish,pelagic fish,NOAA Southeast Fishery Science Center (SEFSC) Commercial Pelagic Observer Program (POP) Data (SEFSC_POP),A,22,1973,2005,24.981493,-51.374069,540,136554,93906,466437,0,31877769,Oct-12,Count,NA,lat_long_locality_bottomDepth_depth_date
113,4,Marine,Global,Oceanic waters,FALSE,178115000,Multiple ecoregions,Marine invertebrates,marine invertebrates + fish,Southampton Oceanography Center Discovery Collections Midwater Database (collections from Discovery sailings - 1979 only year with furthest afield data),A,25,1965,1999,2.695167,-10.86341,2055,2324,2207,89972,0,45119448,Oct-12,Presence/Absence,NA,lat_long_general_depth_date
117,1,Marine,Temperate,Tidal flats,FALSE,154556000,Temperate shelf and seas ecoregions,Marine invertebrates,Starfish,South Western Pacific Regional OBIS Data Asteroid Subset (South Western Pacific OBIS),A,44,1956,2003,-39.371733,3.081897,156,1394,1394,2253,0,28138739,Oct-12,Count,NA,lat_long_ocean_bottomDepth_date
119,67,Marine,Temperate,Pelagic / Bottom waters,FALSE,853177,Temperate shelf and seas ecoregions,Fish,Fish,DFO Maritimes Research Vessel Trawl Surveys Fish Observations (OBIS Canada),AB,41,1970,2010,43.987425,-63.669701,231,13945,13507,121804,0,595377,Oct-12,Count,Weight,lat_long_country_ocean_locality_depth_date
120,59,Marine,Temperate/Tropical,oceanic waters,FALSE,106714000,Tropical coral,Marine plants,tropical algae,CRED REA Algal Quadrate Images in the Pacific Ocean 2002-2008 (OBIS-USA),A,7,2002,2008,10.778,-169.454,260,466,466,10198,1.80E-07,24033496,Oct-12,Presence/Absence,NA,lat_long_locality_bottomDepth_date
121,119,Marine,Temperate/Tropical,Reef,FALSE,106835000,Tropical coral,Fish,reef fish,CRED Rapid Ecological Assessments of Fish Belt Transect Surveys and Fish Stationary Point Count Surveys in the Pacific Ocean 2000-2010 (OBIS-USA),A,11,2000,2010,10.778,-169.454,148,11408,52,21577,0,24095725,Oct-12,Count,NA,lat_long_locality_depth_date
122,42,Marine,Temperate/Tropical,pacific corals,FALSE,105860000,Tropical seas,Marine invertebrates,corals,CRED Rapid Ecological Assessments of Coral Population in the Pacific Ocean 2007-2010 (OBIS-USA),A,4,2007,2010,10.778,-169.454,209,1864,546,18535,5.00E-07,24033496,Oct-12,Presence/Absence,NA,lat_long_locality_depth_date
123,78,Marine,Temperate,Pelagic / Bottom waters,FALSE,42206.4,Temperate shelf and seas ecoregions,Fish,fish & marine invertebrates,Maine Department of Marine Resources Inshore Trawl Survey 2000?2009 (OBIS-USA),AB,10,2000,2009,43.891199,-68.940737,144,1750,1749,36935,0,37572,Oct-12,Count,Weight,lat_long_country_ocean_sampleSize_depth_date
124,28,Marine,Temperate,Tidal flats,FALSE,4355.68,Temperate shelf and seas ecoregions,Marine invertebrates,marine invertebrates & marine plants,A Biological Survey of the Waters of Woods Hole and Vicinity,A,7,1903,1909,41.570974,-70.509903,606,768,323,41346,0,2171,Oct-12,Presence/Absence,NA,lat_long_country_state_ocean_depth_date
125,68,Marine,Temperate,Pelagic / Bottom waters,FALSE,206607,Temperate shelf and seas ecoregions,Fish,fish,MARMAP Chevron Trap Survey 1990-2009 (OBIS-USA),AB,12,1988,2000,31.441647,-78.848859,101,1205,422,15092,2.55E-06,101680,Oct-12,Count,Weight,lat_long_country_ocean_depth_date
126,27,Marine,Temperate,Pelagic / Bottom waters,FALSE,300785,Temperate shelf and seas ecoregions,Fish,fish,MARMAP Neuston Nets 1990-2009 (OBIS-USA),A,8,1973,1980,31.250847,-78.751587,438,467,467,7614,0,167424,Oct-12,Count,NA,lat_long_general_bottomDepth_date
127,7,Marine,Temperate,Pelagic / Bottom waters,FALSE,54736.7,Temperate shelf and seas ecoregions,Fish,fish,MARMAP Florida Antillean Trap Survey 1990-2009 (OBIS-USA),AB,10,1980,1989,32.334695,-78.992262,48,352,173,4546,9.90E-07,61329,Oct-12,Count,Weight,lat_long_country_ocean_depth_date
128,206,Marine,Temperate,Tidal flats,FALSE,69445.5,Temperate shelf and seas ecoregions,Marine invertebrates,Zooplankton,Zooplankton Sampled with 10m2MOCNESS Net in Georges Bank 1995-1999 (OBIS-USA),A,5,1995,1999,41.380803,-67.446981,341,783,39,15246,0,76893,Oct-12,Presence/Absence,NA,lat_long_general_depth_date
129,9,Marine,Temperate,Coastal habitats,FALSE,714979,Temperate shelf and seas ecoregions,Marine invertebrates,Marine invertebrates,South TX Outer Continental Shelf and MI. AL. and FL Outer Continental Shelf benthic organism sampling 1974-1978 (OBIS-USA),A,5,1974,1978,27.694737,-89.141039,2561,431,431,58162,0,292035,Oct-12,Count,NA,lat_long_country_ocean_bottomDepth_date
133,1,Marine,Temperate/Tropical,Coastal habitats,FALSE,7810300,Multiple ecoregions,Marine invertebrates,Copepods,Copepods (Tropical and Subtropical Western South Atlantic OBIS),A,8,1954,1961,-14.616657,-42.219116,119,106,95,2300,0,2833607,Oct-12,Count,NA,lat_long_ocean_country_depth_date
135,39,Marine,Temperate/Tropical,Mixed,FALSE,5997740,Temperate shelf and seas ecoregions,Fish,mostly fish + a few invertebrates,Previous_fisheries_REVIZEE_Program (Tropical and Subtropical Western South Atlantic OBIS),B,11,1972,1986,-13.021508,-45.166281,151,2013,1796,8468,0,1852596,Oct-12,NA,Weight,lat_long_ocean_country_state_locality_depth_date
142,52,Marine,Temperate/Tropical,Pelagic / Bottom waters,FALSE,598769,Multiple ecoregions,Fish,fish,Pelagic and Demersal Fish Database II. REVIZEE South Area (WSAOBIS),A,3,1997,2002,-27.327812,-45.330092,189,276,276,4125,0,414849,Oct-12,Count,NA,lat_long_locality_depth_date
143,2,Marine,Temperate/Tropical,Coastal habitats,FALSE,159306,Temperate shelf and seas ecoregions,Marine invertebrates,Copepods,COPEPODA-ESPOBIS Data Base IMO-UdeC,A,8,2002,2009,-28.493581,-71.860312,106,60,10,1313,0,81903,Oct-12,Count,NA,lat_long_country_ocean_locality_size_depth_date
147,1,Marine,Temperate,Tidal flats,FALSE,274227000,Temperate shelf and seas ecoregions,Marine invertebrates,Bryozoa,South Western Pacific Regional OBIS Data Bryozoan Subset (South Western Pacific OBIS),A,51,1874,2003,-21.686209,-22.808747,599,555,555,6329,0,24816747,Oct-12,Presence/Absence,NA,lat_long_ocean_bottomDepth_date
148,1,Marine,Temperate/Tropical,Mixed,FALSE,179806000,Temperate shelf and seas ecoregions,Fish,Fish,South Western Pacific Regional OBIS Data provider for the NIWA Marine Biodata Information System (South Western Pacific OBIS),B,38,1964,2005,-42.407,172.26,430,28775,28332,351472,0,6824130,Oct-12,NA,Weight,lat_long_ocean_locality_depth_date
150,3,Marine,Temperate,Polar ecoregions,FALSE,69.8642,Temperate shelf and seas ecoregions,Marine invertebrates,Marine invertebrates,Admiralty Bay Benthos Diversity Data Base (ABBED). ,A,5,1979,1986,-62.155019,-58.478947,44,130,116,428,1.00E-07,120,Oct-12,Presence/Absence,NA,lat_long_ocean_locality_depth_date
152,8,Marine,Temperate,Tidal flats,FALSE,85368200,Temperate shelf and seas ecoregions,Marine invertebrates,Zooplankton,CMarZ (Census of Marine Zooplankton)-Asia Database,A,15,1977,2002,43.855961,3.065693,163,309,138,2493,0,8834130,Oct-12,Count,NA,lat_long_country_depth_date
162,148,Marine,Temperate/Tropical,Coastal habitats,FALSE,54966400,Multiple ecoregions,Benthos,Benthos,EPA'S EMAP Database,A,13,1990,2004,36.76236,-116.837677,5624,6588,6073,173040,4.40E-08,4871568,Oct-12,Presence/Absence,NA,lat_long_general_depth_date
163,835,Marine,Temperate,Estuarine and coastal waters,FALSE,52810300,Temperate shelf and seas ecoregions,Benthos,mainly benthos,North Pacific Groundfish Observer (North Pacific Research Board),AB,12,1993,2004,56.5,-168.15,355,1827,1827,419940,0,6794596,Oct-12,Count,Weight,lat_long_general_ocean_bottomDepth_date
164,2,Marine,Temperate,Tidal flats,FALSE,40132800,Temperate shelf and seas ecoregions,Marine invertebrates,Sessile marine invertebrates,North American Sessile Marine Invertebrate SurveyCitation ,A,6,2000,2005,44.210853,-106.505293,94,230,224,1401,0,5790445,Oct-12,Presence/Absence,NA,lat_long_country_ocean_locality_depth_date
166,44,Marine,Global,Oceanic waters,FALSE,205813000,Multiple ecoregions,All,pelagic seabirds,PIROP Northwest Atlantic 1965-1992 (SEAMAP),A,25,1965,1992,36.075242,-70.991806,213,144510,51670,155600,0,114454343,Oct-12,Count,NA,lat_long_general_date
169,949,Marine,Temperate,Coastal habitats,FALSE,1350380,Temperate shelf and seas ecoregions,All,mostly seabirds + some marine mammals,CalCOFI and NMFS Seabird and Marine Mammal Observation Data. 1987-2006 (SEAMAP),A,20,1987,2006,34.858456,-121.614941,185,56832,56813,61714,0.9,1350384,Oct-12,Count,NA,lat_long_general_depth_date
171,1,Marine,Temperate/Tropical,Multiple marine habitats,FALSE,224237,Multiple ecoregions,Mammals,Marine mammals + a few turtles,Bahamas Marine Mammal Research Organisation Opportunistic Sightings (SEAMAP),A,19,1988,2008,24.896312,-76.292011,28,2362,2362,4774,0,106190,Oct-12,Count,NA,lat_long_general_bottomDepth_date
172,1668,Marine,Temperate,Oceanic waters,FALSE,2416490,Temperate shelf and seas ecoregions,All,Cetaceans. seabirds + turtles,POPA cetacean. seabird. and sea turtle sightings in the Azores area 1998-2009 (OBIS SEAMAP),A,12,1998,2009,35.009739,-24.224698,47,34883,34883,52291,0,1579112,Oct-12,Count,NA,lat_long_general_depth_date
173,2,Marine,Temperate/Tropical,Multiple marine habitats,FALSE,60897800,Multiple ecoregions,Marine invertebrates,Marine invertebrates,Marine Biological Sample Database. JAMSTEC (OBIS_JAPAN),A,16,1996,2012,-4.228324,130.723197,678,1038,721,4523,0,6059632,Oct-12,Presence/Absence,NA,lat_long_ocean_locality_depth_date
176,1,Marine,Temperate,Coastal habitats,FALSE,1798260,Temperate shelf and seas ecoregions,Marine invertebrates,Phytoplankton + zooplankton (and some plants - changed taxa from /plants),Atlantic Zone Monitoring Program Maritimes Region (AZMP) plankton datasets. In Fisheries and Oceans Canada - BioChem archive (OBIS Canada),AB,13,1998,2010,45.073359,-60.564453,320,1763,1232,56938,4.42E-07,945329,Oct-12,Count,Weight,lat_long_general_depth_date
178,8,Marine,Temperate,Pelagic / Bottom waters,FALSE,3901280,Temperate shelf and seas ecoregions,Fish,mostly fish + some marine invertebrates,Pacific Shrimp Trawl Survey (OBIS Canada),A,39,1963,2007,53.54327,-140.266034,476,8065,8032,128311,0,652347,Oct-12,Presence/Absence,NA,lat_long_ocean_locality_depth_date
180,7,Marine,Polar/Temperate,Pelagic waters,FALSE,37189000,Polar ecoregions,Fish,Groundfish,ECNASAP - East Coast North America Strategic Assessment (OBIS Canada),A,26,1970,1995,37.770564,-50.792666,273,46466,43126,410802,0.33336,7229693,Oct-12,Count,NA,lat_long_locality_depth_date
182,72,Marine,Temperate,Oceanic waters,FALSE,169608,Temperate shelf and seas ecoregions,All,Chromista. fish + marine invertebrates,Snow crab research trawl survey database (Southern Gulf of St. Lawrence. Gulf region. Canada) from 1988 to 2010 (OBIS Canada),A,22,1988,2009,47.480915,-62.76169,33,5777,5765,35005,0.006420267,167455,Oct-12,Count,NA,lat_long_general_depth_date
183,179,Marine,Temperate,Tidal flats,FALSE,761747,Temperate shelf and seas ecoregions,Marine invertebrates,Marine invertebrates,DFO Maritimes Research Vessel Trawl Surveys Invertebrate Observations (OBIS Canada),A,13,1999,2011,43.776648,-63.751421,16,4475,4475,14906,0,621101,Oct-12,Count,NA,lat_long_locality_ocean_country_depth_date
